Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Czechia,20.48778139,20.7873617,19.04740747,18.71154684,18.16896079,17.63788699,16.71289546,16.73176229,16.96278201,16.75140093
Germany,16.08934354,15.57511307,13.8086903,13.57835046,12.24528447,12.72693664,11.77992518,11.88161987,11.92460308,11.80580716
Djibouti,42.00889257,45.33865903,47.01194744,46.26029567,42.85562418,44.89784611,43.47619484,43.66118465,43.39312927,43.16577438
Dominica,17.6150034,16.88759795,17.78294307,17.79640821,17.49910192,19.2530028,18.53218593,18.1758119,18.56540278,18.60844325
Denmark,13.29038466,13.56725749,10.82992224,10.4485287,11.03144858,10.16512436,9.286433949,10.28076623,9.868317849,9.785959755
Dominican Republic,16.76999522,16.21392774,16.98500632,16.85065699,17.44234007,18.22650845,17.77201952,17.74186912,17.73840139,17.72938154
Algeria,31.94215239,31.47118632,32.49110136,30.3495654,31.87523927,33.44000481,32.79009631,32.55274407,32.66295035,32.83308539
Ecuador,21.29437515,19.5062242,20.88473743,19.99272951,20.83237429,20.91779236,20.71374205,19.21356831,20.05559153,19.97447395
"Egypt, Arab Rep.",78.51079086,69.78315269,69.70422324,74.75519581,72.02485383,73.13098828,66.74703838,66.95918516,68.47289608,67.88817813
Eritrea,43.29440019,43.39379676,44.54206936,44.70930865,39.15059178,43.06823697,41.32723515,43.85000214,43.4782267,44.07053957
Spain,11.49190106,12.44203689,11.17997141,10.3607232,9.830912644,10.53568076,9.576497124,9.749324875,9.769206907,9.728788477
Estonia,8.648386553,7.749831914,7.484387015,7.541812181,8.097020858,6.563380324,6.517719719,5.683914429,5.985799478,5.893562381
Ethiopia,34.02327199,34.91967839,35.57819849,35.36549106,32.99059157,34.42531071,33.61502933,33.94832602,33.85373372,33.7807199
Finland,7.205869088,7.018955644,6.363062222,5.983816655,6.373112438,5.62877844,5.589432223,5.257788389,5.596788665,5.565330197
Fiji,10.93396761,10.98057046,10.99967408,11.14022253,10.73278375,10.62224564,11.08714633,11.06543703,10.98446945,10.9932094
France,15.07698542,14.99131566,13.68529611,13.61154039,11.58971968,12.30792454,11.4918237,11.43000879,11.53704439,11.40575038
Faroe Islands,,,,,,,,,,
"Micronesia, Fed. Sts.",10.52119627,10.37657887,10.26183249,10.70325232,10.19444017,11.72674947,10.25635183,10.1509403,10.39904238,10.38285056
Gabon,35.45526085,36.03479593,34.93156522,37.16684022,34.1318172,39.73197591,39.0009896,35.36985071,36.93641776,36.74675483
United Kingdom,12.42896791,12.99522944,11.43181815,11.42279633,10.88658588,10.37250919,10.21445169,10.35539774,10.17141578,10.09284402
